"Uniprot","Genes","Pathways"
"O43149","ZZEF1","Cluster 2"
"O43150","ASAP2","Cluster 3"
"O43155","FLRT2","Cluster 3"
"O43156","TTI1","Cluster 2"
"O43157","PLXNB1","Cluster 3"
"O43159","RRP8","Cluster 4"
"O43164","PJA2","Cluster 1"
"O43167","ZBTB24","Cluster 4"
"O43169","CYB5B","Cluster 4"
"O43172","PRPF4","Cluster 5"
"O43175","PHGDH","Cluster 3"
"O43181","NDUFS4","Cluster 5"
"O43182","ARHGAP6","Cluster 3"
"O43189","PHF1","Cluster 4"
"O43194","GPR39","Cluster 3"
"O43237","DYNC1LI2","Cluster 2"
"O43240","KLK10","Cluster 3"
"O43242","PSMD3","Cluster 2"
"O43252","PAPSS1","Cluster 1"
"O43255","SIAH2","Cluster 2"
"O43257","ZNHIT1","Cluster 5"
"O43264","ZW10","Cluster 2"
"O43272","PRODH","Cluster 3"
"O43286","B4GALT5","Cluster 4"
"O43290","SART1","Cluster 5"
"O43291","SPINT2","Cluster 3"
"O43292","GPAA1","Cluster 4"
"O43293","DAPK3","Cluster 4"
"O43294","TGFB1I1","Cluster 3"
"O43295","SRGAP3","Cluster 3"
"O43296","ZNF264","Cluster 3"
"O43298","ZBTB43","Cluster 5"
"O43299","AP5Z1","Cluster 3"
"O43301","HSPA12A","Cluster 3"
"O43303","CCP110","Cluster 1"
"O43306","ADCY6","Cluster 3"
"O43313","ATMIN","Cluster 3"
"O43314","PPIP5K2","Cluster 2"
"O43318","MAP3K7","Cluster 2"
"O43324","EEF1E1","Cluster 2"
"O43325","LYRM1","Cluster 4"
"O43347","MSI1","Cluster 3"
"O43353","RIPK2","Cluster 3"
"O43374","RASA4","Cluster 3"
"O43395","PRPF3","Cluster 5"
"O43396","TXNL1","Cluster 1"
"O43402","EMC8","Cluster 5"
"O43414","ERI3","Cluster 1"
"O43422","THAP12","Cluster 4"
"O43427","FIBP","Cluster 4"
"O43432","EIF4G3","Cluster 2"
"O43447","PPIH","Cluster 5"
"O43451","MGAM","Cluster 3"
"O43462","MBTPS2","Cluster 4"
"O43463","SUV39H1","Cluster 4"
"O43464","HTRA2","Cluster 5"
"O43474","KLF4","Cluster 3"
"O43482","OIP5","Cluster 3"
"O43488","AKR7A2","Cluster 1"
"O43490","PROM1","Cluster 3"
"O43491","EPB41L2","Cluster 3"
"O43493","TGOLN2","Cluster 4"
"O43502","RAD51C","Cluster 2"
"O43504","LAMTOR5","Cluster 5"
"O43505","B4GAT1","Cluster 4"
"O43513","MED7","Cluster 5"
"O43520","ATP8B1","Cluster 3"
"O43524","FOXO3","Cluster 1"
"O43542","XRCC3","Cluster 3"
"O43548","TGM5","Cluster 3"
"O43566","RGS14","Cluster 3"
"O43567","RNF13","Cluster 5"
"O43570","CA12","Cluster 3"
"O43572","AKAP10","Cluster 2"
"O43583","DENR","Cluster 1"
"O43592","XPOT","Cluster 2"
"O43597","SPRY2","Cluster 3"
"O43598","DNPH1","Cluster 1"
"O43609","SPRY1","Cluster 3"
"O43615","TIMM44","Cluster 4"
"O43617","TRAPPC3","Cluster 2"
"O43639","NCK2","Cluster 3"
"O43653","PSCA","Cluster 3"
"O43657","TSPAN6","Cluster 3"
"O43660","PLRG1","Cluster 4"
